contrast1_within,contrast2_within,estimate,SE,df,t_ratio,p_value
nacl000,nacl025,0.045454545454545504,0.03263243835599557,40,1.3929251917576708,0.6356403104522075
nacl000,nacl050,0.015454545454545617,0.03263243835599557,40,0.4735945651976125,0.9893193725326834
nacl000,nacl100,0.04454545454545472,0.03263243835599559,40,1.3650666879225206,0.6529339174322346
nacl000,nacl150,0.15727272727272745,0.03263243835599557,40,4.819521163481541,1.9540555872832321e-4
nacl025,nacl050,-0.029999999999999888,0.032632438355995566,40,-0.9193306265600585,0.8877619103277542
nacl025,nacl100,-9.090909090907831e-4,0.03263243835599557,40,-0.027858503835149526,0.9999998567704292
nacl025,nacl150,0.11181818181818194,0.03263243835599557,40,3.42659597172387,0.011761878270660886
nacl050,nacl100,0.029090909090909105,0.03263243835599557,40,0.8914721227249087,0.8983789513282717
nacl050,nacl150,0.14181818181818184,0.03263243835599558,40,4.345926598283928,8.378761933113266e-4
nacl100,nacl150,0.11272727272727273,0.03263243835599557,40,3.45445447555902,0.010910389312675406
