blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd,subject,procedure,day
2022_05_09_abb03,10,spout01,nacl025,19,9.5,9.5,12.020815280171307,abb03,multi_nacl,19
2022_05_09_abb03,10,spout02,nacl100,21,10.5,10.5,3.5355339059327378,abb03,multi_nacl,19
2022_05_09_abb03,10,spout03,nacl000,43,21.5,21.5,2.1213203435596424,abb03,multi_nacl,19
2022_05_09_abb03,10,spout04,nacl150,0,0,0,0,abb03,multi_nacl,19
2022_05_09_abb03,10,spout05,nacl050,34,17,17,0,abb03,multi_nacl,19
2022_05_09_abb03,20,spout01,nacl025,37,18.5,18.5,0.7071067811865476,abb03,multi_nacl,19
2022_05_09_abb03,20,spout02,nacl100,16,8,8,1.4142135623730951,abb03,multi_nacl,19
2022_05_09_abb03,20,spout03,nacl000,42,21,21,1.4142135623730951,abb03,multi_nacl,19
2022_05_09_abb03,20,spout04,nacl150,0,0,0,0,abb03,multi_nacl,19
2022_05_09_abb03,20,spout05,nacl050,37,18.5,18.5,2.1213203435596424,abb03,multi_nacl,19
2022_05_09_abb03,30,spout01,nacl025,17,8.5,8.5,9.192388155425117,abb03,multi_nacl,19
2022_05_09_abb03,30,spout02,nacl100,7,3.5,3.5,3.5355339059327378,abb03,multi_nacl,19
2022_05_09_abb03,30,spout03,nacl000,35,17.5,17.5,0.7071067811865476,abb03,multi_nacl,19
2022_05_09_abb03,30,spout04,nacl150,0,0,0,0,abb03,multi_nacl,19
2022_05_09_abb03,30,spout05,nacl050,24,12,12,2.8284271247461903,abb03,multi_nacl,19
2022_05_09_abb03,40,spout01,nacl025,2,1,1,0,abb03,multi_nacl,19
2022_05_09_abb03,40,spout02,nacl100,7,3.5,3.5,2.1213203435596424,abb03,multi_nacl,19
2022_05_09_abb03,40,spout03,nacl000,31,15.5,15.5,3.5355339059327378,abb03,multi_nacl,19
2022_05_09_abb03,40,spout04,nacl150,0,0,0,0,abb03,multi_nacl,19
2022_05_09_abb03,40,spout05,nacl050,2,1,1,1.4142135623730951,abb03,multi_nacl,19
2022_05_09_abb03,50,spout01,nacl025,19,9.5,9.5,12.020815280171307,abb03,multi_nacl,19
2022_05_09_abb03,50,spout02,nacl100,3,1.5,1.5,0.7071067811865476,abb03,multi_nacl,19
2022_05_09_abb03,50,spout03,nacl000,13,6.5,6.5,9.192388155425117,abb03,multi_nacl,19
2022_05_09_abb03,50,spout04,nacl150,3,1.5,1.5,2.1213203435596424,abb03,multi_nacl,19
2022_05_09_abb03,50,spout05,nacl050,31,15.5,15.5,0.7071067811865476,abb03,multi_nacl,19
2022_05_09_abb03,60,spout01,nacl025,2,1,1,0,abb03,multi_nacl,19
2022_05_09_abb03,60,spout02,nacl100,6,3,3,1.4142135623730951,abb03,multi_nacl,19
2022_05_09_abb03,60,spout03,nacl000,36,18,18,2.8284271247461903,abb03,multi_nacl,19
2022_05_09_abb03,60,spout04,nacl150,3,1.5,1.5,0.7071067811865476,abb03,multi_nacl,19
2022_05_09_abb03,60,spout05,nacl050,26,13,13,0,abb03,multi_nacl,19
2022_05_09_abb03,70,spout01,nacl025,34,17,17,1.4142135623730951,abb03,multi_nacl,19
2022_05_09_abb03,70,spout02,nacl100,3,1.5,1.5,0.7071067811865476,abb03,multi_nacl,19
2022_05_09_abb03,70,spout03,nacl000,35,17.5,17.5,0.7071067811865476,abb03,multi_nacl,19
2022_05_09_abb03,70,spout04,nacl150,4,2,2,0,abb03,multi_nacl,19
2022_05_09_abb03,70,spout05,nacl050,12,6,6,5.656854249492381,abb03,multi_nacl,19
2022_05_09_abb03,80,spout01,nacl025,16,8,8,9.899494936611665,abb03,multi_nacl,19
2022_05_09_abb03,80,spout02,nacl100,2,1,1,0,abb03,multi_nacl,19
2022_05_09_abb03,80,spout03,nacl000,32,16,16,0,abb03,multi_nacl,19
2022_05_09_abb03,80,spout04,nacl150,4,2,2,2.8284271247461903,abb03,multi_nacl,19
2022_05_09_abb03,80,spout05,nacl050,10,5,5,5.656854249492381,abb03,multi_nacl,19
2022_05_09_abb03,90,spout01,nacl025,11,5.5,5.5,7.7781745930520225,abb03,multi_nacl,19
2022_05_09_abb03,90,spout02,nacl100,2,1,1,0,abb03,multi_nacl,19
2022_05_09_abb03,90,spout03,nacl000,13,6.5,6.5,9.192388155425117,abb03,multi_nacl,19
2022_05_09_abb03,90,spout04,nacl150,7,3.5,3.5,0.7071067811865476,abb03,multi_nacl,19
2022_05_09_abb03,90,spout05,nacl050,2,1,1,0,abb03,multi_nacl,19
2022_05_09_abb04,0,spout01,nacl025,33,16.5,16.5,0.7071067811865476,abb04,multi_nacl,19
2022_05_09_abb04,0,spout02,nacl100,14,7,7,7.0710678118654755,abb04,multi_nacl,19
2022_05_09_abb04,0,spout03,nacl000,44,22,22,2.8284271247461903,abb04,multi_nacl,19
2022_05_09_abb04,0,spout04,nacl150,5,2.5,2.5,0.7071067811865476,abb04,multi_nacl,19
2022_05_09_abb04,0,spout05,nacl050,40,20,20,2.8284271247461903,abb04,multi_nacl,19
2022_05_09_abb04,10,spout01,nacl025,47,23.5,23.5,2.1213203435596424,abb04,multi_nacl,19
2022_05_09_abb04,10,spout02,nacl100,2,1,1,0,abb04,multi_nacl,19
2022_05_09_abb04,10,spout03,nacl000,46,23,23,0,abb04,multi_nacl,19
2022_05_09_abb04,10,spout04,nacl150,3,1.5,1.5,2.1213203435596424,abb04,multi_nacl,19
2022_05_09_abb04,10,spout05,nacl050,19,9.5,9.5,0.7071067811865476,abb04,multi_nacl,19
2022_05_09_abb04,20,spout01,nacl025,47,23.5,23.5,0.7071067811865476,abb04,multi_nacl,19
2022_05_09_abb04,20,spout02,nacl100,4,2,2,1.4142135623730951,abb04,multi_nacl,19
2022_05_09_abb04,20,spout03,nacl000,42,21,21,1.4142135623730951,abb04,multi_nacl,19
2022_05_09_abb04,20,spout04,nacl150,5,2.5,2.5,0.7071067811865476,abb04,multi_nacl,19
2022_05_09_abb04,20,spout05,nacl050,4,2,2,0,abb04,multi_nacl,19
2022_05_09_abb04,30,spout01,nacl025,37,18.5,18.5,2.1213203435596424,abb04,multi_nacl,19
2022_05_09_abb04,30,spout02,nacl100,6,3,3,0,abb04,multi_nacl,19
2022_05_09_abb04,30,spout03,nacl000,47,23.5,23.5,0.7071067811865476,abb04,multi_nacl,19
2022_05_09_abb04,30,spout04,nacl150,4,2,2,0,abb04,multi_nacl,19
2022_05_09_abb04,30,spout05,nacl050,34,17,17,9.899494936611665,abb04,multi_nacl,19
2022_05_09_abb04,40,spout01,nacl025,44,22,22,1.4142135623730951,abb04,multi_nacl,19
2022_05_09_abb04,40,spout02,nacl100,3,1.5,1.5,0.7071067811865476,abb04,multi_nacl,19
2022_05_09_abb04,40,spout03,nacl000,46,23,23,2.8284271247461903,abb04,multi_nacl,19
2022_05_09_abb04,40,spout04,nacl150,6,3,3,0,abb04,multi_nacl,19
2022_05_09_abb04,40,spout05,nacl050,27,13.5,13.5,4.949747468305833,abb04,multi_nacl,19
2022_05_09_abb04,50,spout01,nacl025,22,11,11,14.142135623730951,abb04,multi_nacl,19
2022_05_09_abb04,50,spout02,nacl100,4,2,2,0,abb04,multi_nacl,19
2022_05_09_abb04,50,spout03,nacl000,47,23.5,23.5,2.1213203435596424,abb04,multi_nacl,19
2022_05_09_abb04,50,spout04,nacl150,4,2,2,0,abb04,multi_nacl,19
2022_05_09_abb04,50,spout05,nacl050,14,7,7,5.656854249492381,abb04,multi_nacl,19
2022_05_09_abb04,60,spout01,nacl025,44,22,22,1.4142135623730951,abb04,multi_nacl,19
2022_05_09_abb04,60,spout02,nacl100,3,1.5,1.5,0.7071067811865476,abb04,multi_nacl,19
2022_05_09_abb04,60,spout03,nacl000,53,26.5,26.5,3.5355339059327378,abb04,multi_nacl,19
2022_05_09_abb04,60,spout04,nacl150,9,4.5,4.5,0.7071067811865476,abb04,multi_nacl,19
2022_05_09_abb04,60,spout05,nacl050,3,1.5,1.5,0.7071067811865476,abb04,multi_nacl,19
2022_05_09_abb04,70,spout01,nacl025,46,23,23,2.8284271247461903,abb04,multi_nacl,19
2022_05_09_abb04,70,spout02,nacl100,2,1,1,0,abb04,multi_nacl,19
2022_05_09_abb04,70,spout03,nacl000,48,24,24,1.4142135623730951,abb04,multi_nacl,19
2022_05_09_abb04,70,spout04,nacl150,11,5.5,5.5,0.7071067811865476,abb04,multi_nacl,19
2022_05_09_abb04,70,spout05,nacl050,10,5,5,2.8284271247461903,abb04,multi_nacl,19
2022_05_09_abb04,80,spout01,nacl025,23,11.5,11.5,14.849242404917497,abb04,multi_nacl,19
2022_05_09_abb04,80,spout02,nacl100,4,2,2,0,abb04,multi_nacl,19
2022_05_09_abb04,80,spout03,nacl000,49,24.5,24.5,0.7071067811865476,abb04,multi_nacl,19
2022_05_09_abb04,80,spout04,nacl150,8,4,4,2.8284271247461903,abb04,multi_nacl,19
2022_05_09_abb04,80,spout05,nacl050,22,11,11,14.142135623730951,abb04,multi_nacl,19
2022_05_09_abb04,90,spout01,nacl025,2,1,1,0,abb04,multi_nacl,19
2022_05_09_abb04,90,spout02,nacl100,5,2.5,2.5,0.7071067811865476,abb04,multi_nacl,19
2022_05_09_abb04,90,spout03,nacl000,22,11,11,14.142135623730951,abb04,multi_nacl,19
2022_05_09_abb04,90,spout04,nacl150,4,2,2,0,abb04,multi_nacl,19
2022_05_09_abb04,90,spout05,nacl050,3,1.5,1.5,0.7071067811865476,abb04,multi_nacl,19
2022_05_09_abb05,0,spout01,nacl025,27,13.5,13.5,4.949747468305833,abb05,multi_nacl,19
2022_05_09_abb05,0,spout02,nacl100,10,5,5,1.4142135623730951,abb05,multi_nacl,19
2022_05_09_abb05,0,spout03,nacl000,29,14.5,14.5,2.1213203435596424,abb05,multi_nacl,19
