blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_31_abb07,0,239,23.9,24,0.31622776601683794
2022_05_31_abb07,10,242,24.2,24,0.7888106377466155
2022_05_31_abb07,20,230,23,23.5,2.260776661041756
2022_05_31_abb07,30,181,18.1,18.5,3.665151201974256
2022_05_31_abb07,40,150,15,16,2.5385910352879693
2022_05_31_abb07,50,61,6.1,4.5,6.367451958550173
2022_05_31_abb07,60,88,8.8,10.5,8.052604823561408
2022_05_31_abb07,70,85,8.5,10,7.863417408056966
2022_05_31_abb07,80,31,3.1,0,6.573515886579351
2022_05_31_abb07,90,40,4,0,6.4635731432217725
