blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_05_abb06,0,spout01,sucrose10,33,16.5,16.5,6.363961030678928
2022_05_05_abb06,0,spout02,sucrose00,33,16.5,16.5,4.949747468305833
2022_05_05_abb06,0,spout03,sucrose30,37,18.5,18.5,0.7071067811865476
2022_05_05_abb06,0,spout04,sucrose05,17,8.5,8.5,3.5355339059327378
2022_05_05_abb06,0,spout05,sucrose20,41,20.5,20.5,0.7071067811865476
2022_05_05_abb06,10,spout01,sucrose10,40,20,20,1.4142135623730951
2022_05_05_abb06,10,spout02,sucrose00,12,6,6,0
2022_05_05_abb06,10,spout03,sucrose30,26,13,13,1.4142135623730951
2022_05_05_abb06,10,spout04,sucrose05,11,5.5,5.5,2.1213203435596424
2022_05_05_abb06,10,spout05,sucrose20,38,19,19,2.8284271247461903
2022_05_05_abb06,20,spout01,sucrose10,32,16,16,4.242640687119285
2022_05_05_abb06,20,spout02,sucrose00,11,5.5,5.5,0.7071067811865476
2022_05_05_abb06,20,spout03,sucrose30,19,9.5,9.5,2.1213203435596424
2022_05_05_abb06,20,spout04,sucrose05,21,10.5,10.5,10.606601717798213
2022_05_05_abb06,20,spout05,sucrose20,28,14,14,2.8284271247461903
2022_05_05_abb06,30,spout01,sucrose10,13,6.5,6.5,2.1213203435596424
2022_05_05_abb06,30,spout02,sucrose00,15,7.5,7.5,4.949747468305833
2022_05_05_abb06,30,spout03,sucrose30,23,11.5,11.5,2.1213203435596424
2022_05_05_abb06,30,spout04,sucrose05,7,3.5,3.5,0.7071067811865476
2022_05_05_abb06,30,spout05,sucrose20,35,17.5,17.5,2.1213203435596424
2022_05_05_abb06,40,spout01,sucrose10,23,11.5,11.5,4.949747468305833
2022_05_05_abb06,40,spout02,sucrose00,10,5,5,0
2022_05_05_abb06,40,spout03,sucrose30,23,11.5,11.5,0.7071067811865476
2022_05_05_abb06,40,spout04,sucrose05,11,5.5,5.5,3.5355339059327378
2022_05_05_abb06,40,spout05,sucrose20,26,13,13,5.656854249492381
2022_05_05_abb06,50,spout01,sucrose10,8,4,4,2.8284271247461903
2022_05_05_abb06,50,spout02,sucrose00,8,4,4,0
2022_05_05_abb06,50,spout03,sucrose30,18,9,9,0
2022_05_05_abb06,50,spout04,sucrose05,7,3.5,3.5,0.7071067811865476
2022_05_05_abb06,50,spout05,sucrose20,23,11.5,11.5,0.7071067811865476
2022_05_05_abb06,60,spout01,sucrose10,18,9,9,12.727922061357855
2022_05_05_abb06,60,spout02,sucrose00,3,1.5,1.5,2.1213203435596424
2022_05_05_abb06,60,spout03,sucrose30,20,10,10,1.4142135623730951
2022_05_05_abb06,60,spout04,sucrose05,4,2,2,2.8284271247461903
2022_05_05_abb06,60,spout05,sucrose20,19,9.5,9.5,6.363961030678928
2022_05_05_abb06,70,spout01,sucrose10,10,5,5,1.4142135623730951
2022_05_05_abb06,70,spout02,sucrose00,8,4,4,1.4142135623730951
2022_05_05_abb06,70,spout03,sucrose30,19,9.5,9.5,0.7071067811865476
2022_05_05_abb06,70,spout04,sucrose05,1,0.5,0.5,0.7071067811865476
2022_05_05_abb06,70,spout05,sucrose20,8,4,4,0
2022_05_05_abb06,80,spout01,sucrose10,14,7,7,9.899494936611665
2022_05_05_abb06,80,spout02,sucrose00,5,2.5,2.5,0.7071067811865476
2022_05_05_abb06,80,spout03,sucrose30,17,8.5,8.5,2.1213203435596424
2022_05_05_abb06,80,spout04,sucrose05,3,1.5,1.5,2.1213203435596424
2022_05_05_abb06,80,spout05,sucrose20,20,10,10,9.899494936611665
2022_05_05_abb06,90,spout01,sucrose10,4,2,2,1.4142135623730951
2022_05_05_abb06,90,spout02,sucrose00,0,0,0,0
2022_05_05_abb06,90,spout03,sucrose30,7,3.5,3.5,4.949747468305833
2022_05_05_abb06,90,spout04,sucrose05,0,0,0,0
2022_05_05_abb06,90,spout05,sucrose20,4,2,2,2.8284271247461903
