blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_12_abb03,0,126,12.6,17.5,8.669230390037836
2022_05_12_abb03,10,124,12.4,16,8.329332372872257
2022_05_12_abb03,20,110,11,12.5,7.659416862050705
2022_05_12_abb03,30,116,11.6,14,8.796463936024395
2022_05_12_abb03,40,103,10.3,10.5,7.528464503321894
2022_05_12_abb03,50,86,8.6,8.5,7.647802879839992
2022_05_12_abb03,60,68,6.8,6,6.425643072011462
2022_05_12_abb03,70,91,9.1,11,7.593125545883958
2022_05_12_abb03,80,75,7.5,4.5,7.905694150420948
2022_05_12_abb03,90,60,6,1.5,7.9021797274197985
