blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_12_abb01,0,74,7.4,5.5,7.198765326236314
2022_05_12_abb01,10,80,8,7.5,6.3595946761129705
2022_05_12_abb01,20,94,9.4,8,8.682037651253177
2022_05_12_abb01,30,91,9.1,8,8.279157230325104
2022_05_12_abb01,40,81,8.1,3.5,7.809538327512637
2022_05_12_abb01,50,101,10.1,10,7.504813270310076
2022_05_12_abb01,60,96,9.6,13,6.65331997326648
2022_05_12_abb01,70,95,9.5,11,6.450667493454543
2022_05_12_abb01,80,84,8.4,7.5,7.229568912920511
2022_05_12_abb01,90,82,8.2,9,6.390965845976995
