blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_11_abb03,0,131,13.1,15.5,7.01506315802724
2022_05_11_abb03,10,114,11.4,14,8.099382692526634
2022_05_11_abb03,20,97,9.7,10.5,7.717944458640958
2022_05_11_abb03,30,93,9.3,7.5,7.860590874030329
2022_05_11_abb03,40,80,8,7,6.531972647421808
2022_05_11_abb03,50,67,6.7,2.5,6.976946164173676
2022_05_11_abb03,60,68,6.8,2,7.345444544447637
2022_05_11_abb03,70,71,7.1,4.5,6.226288353960702
2022_05_11_abb03,80,73,7.3,6,6.583649781424012
2022_05_11_abb03,90,70,7,7.5,6.306962642808167
