blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_09_abb07,0,198,19.8,19,2.780887148615228
2022_06_09_abb07,10,202,20.2,21,2.8205594401741574
2022_06_09_abb07,20,178,17.8,17.5,3.4253953543107007
2022_06_09_abb07,30,152,15.2,15,3.7058512292499457
2022_06_09_abb07,40,35,3.5,0,5.582711408148075
2022_06_09_abb07,50,163,16.3,17.5,3.917198545446024
2022_06_09_abb07,60,79,7.9,8,6.384877968032487
2022_06_09_abb07,70,50,5,0,7.086763875156433
2022_06_09_abb07,80,10,1,0,2.211083193570267
2022_06_09_abb07,90,26,2.6,0,4.880801391392834
