blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_09_abb12,0,spout01,sucrose10,47,23.5,23.5,0.7071067811865476
2022_06_09_abb12,0,spout02,sucrose00,13,6.5,6.5,2.1213203435596424
2022_06_09_abb12,0,spout03,sucrose30,45,22.5,22.5,0.7071067811865476
2022_06_09_abb12,0,spout04,sucrose05,41,20.5,20.5,3.5355339059327378
2022_06_09_abb12,0,spout05,sucrose20,41,20.5,20.5,2.1213203435596424
2022_06_09_abb12,10,spout01,sucrose10,24,12,12,9.899494936611665
2022_06_09_abb12,10,spout02,sucrose00,8,4,4,0
2022_06_09_abb12,10,spout03,sucrose30,45,22.5,22.5,0.7071067811865476
2022_06_09_abb12,10,spout04,sucrose05,13,6.5,6.5,0.7071067811865476
2022_06_09_abb12,10,spout05,sucrose20,46,23,23,0
2022_06_09_abb12,20,spout01,sucrose10,8,4,4,1.4142135623730951
2022_06_09_abb12,20,spout02,sucrose00,9,4.5,4.5,3.5355339059327378
2022_06_09_abb12,20,spout03,sucrose30,42,21,21,1.4142135623730951
2022_06_09_abb12,20,spout04,sucrose05,20,10,10,5.656854249492381
2022_06_09_abb12,20,spout05,sucrose20,41,20.5,20.5,2.1213203435596424
2022_06_09_abb12,30,spout01,sucrose10,20,10,10,8.48528137423857
2022_06_09_abb12,30,spout02,sucrose00,7,3.5,3.5,0.7071067811865476
2022_06_09_abb12,30,spout03,sucrose30,44,22,22,0
2022_06_09_abb12,30,spout04,sucrose05,6,3,3,1.4142135623730951
2022_06_09_abb12,30,spout05,sucrose20,36,18,18,7.0710678118654755
2022_06_09_abb12,40,spout01,sucrose10,8,4,4,0
2022_06_09_abb12,40,spout02,sucrose00,3,1.5,1.5,0.7071067811865476
2022_06_09_abb12,40,spout03,sucrose30,35,17.5,17.5,0.7071067811865476
2022_06_09_abb12,40,spout04,sucrose05,9,4.5,4.5,0.7071067811865476
2022_06_09_abb12,40,spout05,sucrose20,36,18,18,2.8284271247461903
2022_06_09_abb12,50,spout01,sucrose10,8,4,4,1.4142135623730951
2022_06_09_abb12,50,spout02,sucrose00,3,1.5,1.5,0.7071067811865476
2022_06_09_abb12,50,spout03,sucrose30,42,21,21,1.4142135623730951
2022_06_09_abb12,50,spout04,sucrose05,8,4,4,1.4142135623730951
2022_06_09_abb12,50,spout05,sucrose20,22,11,11,8.48528137423857
2022_06_09_abb12,60,spout01,sucrose10,10,5,5,7.0710678118654755
2022_06_09_abb12,60,spout02,sucrose00,4,2,2,0
2022_06_09_abb12,60,spout03,sucrose30,37,18.5,18.5,2.1213203435596424
2022_06_09_abb12,60,spout04,sucrose05,6,3,3,2.8284271247461903
2022_06_09_abb12,60,spout05,sucrose20,26,13,13,4.242640687119285
2022_06_09_abb12,70,spout01,sucrose10,0,0,0,0
2022_06_09_abb12,70,spout02,sucrose00,2,1,1,1.4142135623730951
2022_06_09_abb12,70,spout03,sucrose30,9,4.5,4.5,6.363961030678928
2022_06_09_abb12,70,spout04,sucrose05,3,1.5,1.5,2.1213203435596424
2022_06_09_abb12,70,spout05,sucrose20,23,11.5,11.5,4.949747468305833
2022_06_09_abb12,80,spout01,sucrose10,5,2.5,2.5,2.1213203435596424
2022_06_09_abb12,80,spout02,sucrose00,1,0.5,0.5,0.7071067811865476
2022_06_09_abb12,80,spout03,sucrose30,34,17,17,0
2022_06_09_abb12,80,spout04,sucrose05,0,0,0,0
2022_06_09_abb12,80,spout05,sucrose20,15,7.5,7.5,0.7071067811865476
2022_06_09_abb12,90,spout01,sucrose10,4,2,2,0
2022_06_09_abb12,90,spout02,sucrose00,1,0.5,0.5,0.7071067811865476
2022_06_09_abb12,90,spout03,sucrose30,30,15,15,1.4142135623730951
2022_06_09_abb12,90,spout04,sucrose05,6,3,3,1.4142135623730951
2022_06_09_abb12,90,spout05,sucrose20,24,12,12,4.242640687119285
