blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_26_abb08,0,191,19.1,20,4.04007700696685
2022_05_26_abb08,10,211,21.1,21.5,2.1317702607092643
2022_05_26_abb08,20,218,21.8,23,3.2591750830880843
2022_05_26_abb08,30,139,13.9,16,7.936553968120477
2022_05_26_abb08,40,122,12.2,13,7.82872204698116
2022_05_26_abb08,50,112,11.2,8.5,7.728734264634367
2022_05_26_abb08,60,87,8.7,4.5,8.920014947670584
2022_05_26_abb08,70,80,8,4,8.04155872120988
2022_05_26_abb08,80,73,7.3,4,8.35397443669113
2022_05_26_abb08,90,50,5,2,7.586537784494028
