blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_24_abb12,0,194,19.4,19.5,2.6331223544175333
2022_05_24_abb12,10,202,20.2,21,3.190262963734773
2022_05_24_abb12,20,196,19.6,22,6.168017869984201
2022_05_24_abb12,30,204,20.4,22,4.948624949305502
2022_05_24_abb12,40,199,19.9,22,5.8774522069043185
2022_05_24_abb12,50,186,18.6,18.5,3.9496835316262997
2022_05_24_abb12,60,186,18.6,18,4.4522154285504
2022_05_24_abb12,70,148,14.8,17,6.250333324444918
2022_05_24_abb12,80,129,12.9,15,5.173651192984184
2022_05_24_abb12,90,90,9,9.5,5.9066817155564495
