blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_15_abb03,0,178,17.8,17,3.2591750830880843
2022_04_15_abb03,10,148,14.8,16,4.3410188256265885
2022_04_15_abb03,20,128,12.8,12,5.711586664161039
2022_04_15_abb03,30,94,9.4,9.5,2.1705094128132942
2022_04_15_abb03,40,57,5.7,6,4.667856991049414
2022_04_15_abb03,50,79,7.9,8,5.6460408940936455
2022_04_15_abb03,60,34,3.4,1,5.146735750831676
2022_04_15_abb03,70,20,2,1,2.494438257849294
2022_04_15_abb03,80,8,0.8,0,2.5298221281347035
2022_04_15_abb03,90,18,1.8,0,3.155242550986462
