blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_12_abb06,0,58,5.8,2,7.238784428341543
2022_05_12_abb06,10,50,5,2.5,6.4635731432217725
2022_05_12_abb06,20,52,5.2,0.5,7.330302403948512
2022_05_12_abb06,30,43,4.3,1.5,5.4984846397287805
2022_05_12_abb06,40,28,2.8,0,5.159672685570493
2022_05_12_abb06,50,36,3.6,0,6.221825384170718
2022_05_12_abb06,60,56,5.6,1,7.515909052728677
2022_05_12_abb06,70,28,2.8,0,5.202563470700445
2022_05_12_abb06,80,23,2.3,0,4.522781838156198
2022_05_12_abb06,90,12,1.2,0,3.794733192202055
