blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_15_abb10,0,128,12.8,11.5,9.089676684141313
2022_06_15_abb10,10,114,11.4,10,8.682037651253177
2022_06_15_abb10,20,106,10.6,8,8.682037651253177
2022_06_15_abb10,30,87,8.7,3.5,9.03142661303665
2022_06_15_abb10,40,102,10.2,10.5,8.586811592979862
2022_06_15_abb10,50,69,6.9,3,8.04777401935881
2022_06_15_abb10,60,74,7.4,1.5,8.630694577430537
2022_06_15_abb10,70,89,8.9,5.5,8.504247304860215
2022_06_15_abb10,80,87,8.7,5,9.177871939253311
2022_06_15_abb10,90,64,6.4,4.5,7.058485830702094
