blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_18_abb07,0,209,20.9,21,1.911950719959998
2022_06_18_abb07,10,182,18.2,18.5,2.7406406388125952
2022_06_18_abb07,20,156,15.6,16.5,3.3065591380365986
2022_06_18_abb07,30,141,14.1,14.5,2.330951164939612
2022_06_18_abb07,40,113,11.3,12,4.24394994210713
2022_06_18_abb07,50,93,9.3,11,5.034326612809745
2022_06_18_abb07,60,72,7.2,10.5,6.285786435372356
2022_06_18_abb07,70,41,4.1,0,5.300943312279429
2022_06_18_abb07,80,49,4.9,3.5,5.363456596884761
2022_06_18_abb07,90,18,1.8,0,3.823901439919996
