blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_19_abb06,0,65,6.5,5,4.403281604540969
2022_04_19_abb06,10,33,3.3,3.5,3.529242915351047
2022_04_19_abb06,20,40,4,2.5,3.4318767136623336
2022_04_19_abb06,30,7,0.7,0,1.4944341180973264
2022_04_19_abb06,40,31,3.1,2,3.6040101122068027
2022_04_19_abb06,50,31,3.1,1.5,3.900142447541001
2022_04_19_abb06,60,23,2.3,1,3.020301677353145
2022_04_19_abb06,70,6,0.6,0,1.8973665961010275
2022_04_19_abb06,80,53,5.3,3,4.8545511292669135
2022_04_19_abb06,90,27,2.7,1.5,3.802046232695699
