blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_10_abb04,0,91,9.1,6.5,8.937436868463898
2022_05_10_abb04,10,135,13.5,14,8.11377429642539
2022_05_10_abb04,20,101,10.1,6,9.723396754449777
2022_05_10_abb04,30,104,10.4,6,10.145606602531627
2022_05_10_abb04,40,123,12.3,16.5,10.011659869039367
2022_05_10_abb04,50,98,9.8,2.5,10.549354903921325
2022_05_10_abb04,60,129,12.9,16.5,10.00499875062461
2022_05_10_abb04,70,70,7,2,9.309493362512628
2022_05_10_abb04,80,50,5,1,7.7746025264604
2022_05_10_abb04,90,75,7.5,1.5,10.080233683358294
