blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_16_abb04,0,103,10.3,12.5,8.718435129718584
2022_04_16_abb04,10,129,12.9,13.5,5.858517066820086
2022_04_16_abb04,20,113,11.3,11,4.808557187163549
2022_04_16_abb04,30,85,8.5,10,4.8362060428489695
2022_04_16_abb04,40,63,6.3,5,3.802046232695699
2022_04_16_abb04,50,28,2.8,1.5,3.552776691859794
2022_04_16_abb04,60,49,4.9,3.5,3.900142447541001
2022_04_16_abb04,70,39,3.9,2.5,4.1486276177925525
2022_04_16_abb04,80,28,2.8,2,3.521363372331802
2022_04_16_abb04,90,12,1.2,1,1.398411797560202
