blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_24_abb11,0,129,12.9,14.5,6.9992063042097055
2022_05_24_abb11,10,105,10.5,5,8.695464973830388
2022_05_24_abb11,20,114,11.4,9.5,8.302610031389728
2022_05_24_abb11,30,109,10.9,10.5,8.345990387938123
2022_05_24_abb11,40,93,9.3,9,7.0561242115547325
2022_05_24_abb11,50,103,10.3,5.5,8.48593607748203
2022_05_24_abb11,60,62,6.2,3.5,6.250333324444918
2022_05_24_abb11,70,76,7.6,4,8.94675608499776
2022_05_24_abb11,80,56,5.6,3,7.919034733546198
2022_05_24_abb11,90,74,7.4,3,7.198765326236314
