blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_16_abb07,0,136,13.6,17,8.408989898383224
2022_06_16_abb07,10,118,11.8,11.5,9.461031186456955
2022_06_16_abb07,20,119,11.9,11,9.25502866314068
2022_06_16_abb07,30,85,8.5,2,9.800793618659437
2022_06_16_abb07,40,92,9.2,3.5,9.366607354497857
2022_06_16_abb07,50,102,10.2,8.5,9.162726425881957
2022_06_16_abb07,60,61,6.1,2,8.305955025696257
2022_06_16_abb07,70,82,8.2,2,9.704523572941527
2022_06_16_abb07,80,78,7.8,1.5,9.235198367598224
2022_06_16_abb07,90,74,7.4,2,7.947046970765654
