blockname,event_id_char,event_ts,trial_start_ts,trial_num,spout,trial_num_tastant,event_ts_rel,experiment,cohort,date,solution,solution_type,solution_value
2022_04_16_abb04,lick_05,13308,12238,1,spout05,1,1070,abb,1,4/16/2022,sucrose30,sucrose,30
2022_04_16_abb04,lick_05,13451,12238,1,spout05,1,1213,abb,1,4/16/2022,sucrose30,sucrose,30
2022_04_16_abb04,lick_05,13753,12238,1,spout05,1,1515,abb,1,4/16/2022,sucrose30,sucrose,30
2022_04_16_abb04,lick_05,13869,12238,1,spout05,1,1631,abb,1,4/16/2022,sucrose30,sucrose,30
2022_04_16_abb04,lick_05,13969,12238,1,spout05,1,1731,abb,1,4/16/2022,sucrose30,sucrose,30
2022_04_16_abb04,lick_05,14093,12238,1,spout05,1,1855,abb,1,4/16/2022,sucrose30,sucrose,30
2022_04_16_abb04,lick_05,14201,12238,1,spout05,1,1963,abb,1,4/16/2022,sucrose30,sucrose,30
2022_04_16_abb04,lick_05,14328,12238,1,spout05,1,2090,abb,1,4/16/2022,sucrose30,sucrose,30
2022_04_16_abb04,lick_05,14448,12238,1,spout05,1,2210,abb,1,4/16/2022,sucrose30,sucrose,30
2022_04_16_abb04,lick_05,14587,12238,1,spout05,1,2349,abb,1,4/16/2022,sucrose30,sucrose,30
2022_04_16_abb04,lick_05,14688,12238,1,spout05,1,2450,abb,1,4/16/2022,sucrose30,sucrose,30
2022_04_16_abb04,lick_05,14823,12238,1,spout05,1,2585,abb,1,4/16/2022,sucrose30,sucrose,30
2022_04_16_abb04,lick_05,14939,12238,1,spout05,1,2701,abb,1,4/16/2022,sucrose30,sucrose,30
2022_04_16_abb04,lick_05,15086,12238,1,spout05,1,2848,abb,1,4/16/2022,sucrose30,sucrose,30
2022_04_16_abb04,lick_05,15206,12238,1,spout05,1,2968,abb,1,4/16/2022,sucrose30,sucrose,30
2022_04_16_abb04,lick_03,23697,23425,2,spout03,1,272,abb,1,4/16/2022,sucrose10,sucrose,10
2022_04_16_abb04,lick_03,23951,23425,2,spout03,1,526,abb,1,4/16/2022,sucrose10,sucrose,10
2022_04_16_abb04,lick_03,24068,23425,2,spout03,1,643,abb,1,4/16/2022,sucrose10,sucrose,10
2022_04_16_abb04,lick_03,24199,23425,2,spout03,1,774,abb,1,4/16/2022,sucrose10,sucrose,10
