blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_19_abb11,0,146,14.6,18,6.801960501698511
2022_05_19_abb11,10,130,13,13.5,5.887840577551898
2022_05_19_abb11,20,161,16.1,17,6.919376979018977
2022_05_19_abb11,30,150,15,15,4.853406592853679
2022_05_19_abb11,40,151,15.1,15.5,5.4456914671651715
2022_05_19_abb11,50,143,14.3,14.5,6.056218108504496
2022_05_19_abb11,60,128,12.8,14,6.511528238439882
2022_05_19_abb11,70,99,9.9,6.5,6.624030327359453
2022_05_19_abb11,80,99,9.9,9.5,7.093815773067568
2022_05_19_abb11,90,95,9.5,4,8.07258735887489
