blockname,event_id_char,event_ts,trial_start_ts,trial_num,spout,trial_num_tastant,event_ts_rel,experiment,cohort,date,solution,solution_type,solution_value
2022_06_16_abb09,lick_05,10647,10431,1,spout05,1,216,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,10802,10431,1,spout05,1,371,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,10941,10431,1,spout05,1,510,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,11045,10431,1,spout05,1,614,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,11309,10431,1,spout05,1,878,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,11417,10431,1,spout05,1,986,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,11668,10431,1,spout05,1,1237,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,11803,10431,1,spout05,1,1372,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,11912,10431,1,spout05,1,1481,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,12070,10431,1,spout05,1,1639,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,12168,10431,1,spout05,1,1737,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,12430,10431,1,spout05,1,1999,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,12593,10431,1,spout05,1,2162,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,12697,10431,1,spout05,1,2266,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,12832,10431,1,spout05,1,2401,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,12956,10431,1,spout05,1,2525,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,13095,10431,1,spout05,1,2664,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,13222,10431,1,spout05,1,2791,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,13346,10431,1,spout05,1,2915,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_03,25737,25016,2,spout03,1,721,abb,2,6/16/2022,nacl150,nacl,1.5
2022_06_16_abb09,lick,40382,40056,3,spout01,1,326,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,40839,40056,3,spout01,1,783,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,41067,40056,3,spout01,1,1011,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,41303,40056,3,spout01,1,1247,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,41434,40056,3,spout01,1,1378,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,41566,40056,3,spout01,1,1510,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,41686,40056,3,spout01,1,1630,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,41914,40056,3,spout01,1,1858,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,42045,40056,3,spout01,1,1989,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,42177,40056,3,spout01,1,2121,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,42289,40056,3,spout01,1,2233,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,42421,40056,3,spout01,1,2365,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,42711,40056,3,spout01,1,2655,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,42838,40056,3,spout01,1,2782,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,42946,40056,3,spout01,1,2890,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick_04,53088,52864,4,spout04,1,224,abb,2,6/16/2022,nacl100,nacl,1
2022_06_16_abb09,lick_04,53246,52864,4,spout04,1,382,abb,2,6/16/2022,nacl100,nacl,1
2022_06_16_abb09,lick_04,54875,52864,4,spout04,1,2011,abb,2,6/16/2022,nacl100,nacl,1
2022_06_16_abb09,lick_04,55014,52864,4,spout04,1,2150,abb,2,6/16/2022,nacl100,nacl,1
2022_06_16_abb09,lick_04,55119,52864,4,spout04,1,2255,abb,2,6/16/2022,nacl100,nacl,1
2022_06_16_abb09,lick_04,55266,52864,4,spout04,1,2402,abb,2,6/16/2022,nacl100,nacl,1
2022_06_16_abb09,lick_04,67002,66744,5,spout04,2,258,abb,2,6/16/2022,nacl100,nacl,1
2022_06_16_abb09,lick_04,67265,66744,5,spout04,2,521,abb,2,6/16/2022,nacl100,nacl,1
2022_06_16_abb09,lick_04,67396,66744,5,spout04,2,652,abb,2,6/16/2022,nacl100,nacl,1
2022_06_16_abb09,lick_04,67617,66744,5,spout04,2,873,abb,2,6/16/2022,nacl100,nacl,1
2022_06_16_abb09,lick,81052,80702,6,spout01,2,350,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,81183,80702,6,spout01,2,481,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,81319,80702,6,spout01,2,617,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,81458,80702,6,spout01,2,756,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,81574,80702,6,spout01,2,872,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,81690,80702,6,spout01,2,988,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,81810,80702,6,spout01,2,1108,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,81918,80702,6,spout01,2,1216,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,82026,80702,6,spout01,2,1324,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,82143,80702,6,spout01,2,1441,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,82258,80702,6,spout01,2,1556,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,82367,80702,6,spout01,2,1665,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,82495,80702,6,spout01,2,1793,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,82618,80702,6,spout01,2,1916,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,82731,80702,6,spout01,2,2029,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,82846,80702,6,spout01,2,2144,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,82967,80702,6,spout01,2,2265,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,83082,80702,6,spout01,2,2380,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,83206,80702,6,spout01,2,2504,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,83349,80702,6,spout01,2,2647,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,83458,80702,6,spout01,2,2756,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,83573,80702,6,spout01,2,2871,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick,83697,80702,6,spout01,2,2995,abb,2,6/16/2022,nacl000,nacl,0
2022_06_16_abb09,lick_03,95730,95314,7,spout03,2,416,abb,2,6/16/2022,nacl150,nacl,1.5
2022_06_16_abb09,lick_05,122634,122358,9,spout05,2,276,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,122948,122358,9,spout05,2,590,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,123180,122358,9,spout05,2,822,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,123308,122358,9,spout05,2,950,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,123427,122358,9,spout05,2,1069,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,123547,122358,9,spout05,2,1189,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,123667,122358,9,spout05,2,1309,abb,2,6/16/2022,nacl025,nacl,0.25
2022_06_16_abb09,lick_05,123891,122358,9,spout05,2,1533,abb,2,6/16/2022,nacl025,nacl,0.25
