blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_23_abb09,0,126,12.6,13.5,6.88315173287483
2022_05_23_abb09,10,126,12.6,12.5,6.535373831014651
2022_05_23_abb09,20,107,10.7,10,8.932462644136212
2022_05_23_abb09,30,99,9.9,8,7.823753006780768
2022_05_23_abb09,40,84,8.4,5,7.805980613179444
2022_05_23_abb09,50,112,11.2,9,7.9833159359587755
2022_05_23_abb09,60,48,4.8,2.5,7.083627444874397
2022_05_23_abb09,70,34,3.4,0,6.310485101972924
2022_05_23_abb09,80,28,2.8,1.5,4.315347288715269
2022_05_23_abb09,90,14,1.4,0,2.5473297566057065
