blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_13_abb03,0,117,11.7,13,5.812821078348179
2022_05_13_abb03,10,66,6.6,4,5.699902533279748
2022_05_13_abb03,20,100,10,11.5,7.118052168020874
2022_05_13_abb03,30,111,11.1,12,5.40473043833928
2022_05_13_abb03,40,80,8,6,7.60116950066092
2022_05_13_abb03,50,72,7.2,6.5,6.844300142778986
2022_05_13_abb03,60,69,6.9,6,6.367451958550173
2022_05_13_abb03,70,53,5.3,4,5.735852159879995
2022_05_13_abb03,80,39,3.9,1,5.3218626647276635
2022_05_13_abb03,90,40,4,0.5,5.981452814975453
