blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_25_abb03,0,spout01,sucrose05,21,10.5,10.5,0.7071067811865476
2022_04_25_abb03,0,spout02,sucrose20,18,9,9,2.8284271247461903
2022_04_25_abb03,0,spout03,sucrose00,29,14.5,14.5,0.7071067811865476
2022_04_25_abb03,0,spout04,sucrose30,35,17.5,17.5,4.949747468305833
2022_04_25_abb03,0,spout05,sucrose10,18,9,9,0
2022_04_25_abb03,10,spout01,sucrose05,27,13.5,13.5,0.7071067811865476
2022_04_25_abb03,10,spout02,sucrose20,21,10.5,10.5,0.7071067811865476
2022_04_25_abb03,10,spout03,sucrose00,29,14.5,14.5,0.7071067811865476
2022_04_25_abb03,10,spout04,sucrose30,40,20,20,0
2022_04_25_abb03,10,spout05,sucrose10,24,12,12,1.4142135623730951
2022_04_25_abb03,20,spout01,sucrose05,27,13.5,13.5,0.7071067811865476
2022_04_25_abb03,20,spout02,sucrose20,26,13,13,0
2022_04_25_abb03,20,spout03,sucrose00,30,15,15,1.4142135623730951
2022_04_25_abb03,20,spout04,sucrose30,38,19,19,0
2022_04_25_abb03,20,spout05,sucrose10,23,11.5,11.5,0.7071067811865476
2022_04_25_abb03,30,spout01,sucrose05,29,14.5,14.5,0.7071067811865476
2022_04_25_abb03,30,spout02,sucrose20,23,11.5,11.5,2.1213203435596424
2022_04_25_abb03,30,spout03,sucrose00,25,12.5,12.5,2.1213203435596424
2022_04_25_abb03,30,spout04,sucrose30,38,19,19,1.4142135623730951
2022_04_25_abb03,30,spout05,sucrose10,24,12,12,0
2022_04_25_abb03,40,spout01,sucrose05,24,12,12,1.4142135623730951
2022_04_25_abb03,40,spout02,sucrose20,21,10.5,10.5,0.7071067811865476
2022_04_25_abb03,40,spout03,sucrose00,24,12,12,1.4142135623730951
2022_04_25_abb03,40,spout04,sucrose30,38,19,19,0
2022_04_25_abb03,40,spout05,sucrose10,21,10.5,10.5,2.1213203435596424
2022_04_25_abb03,50,spout01,sucrose05,12,6,6,0
2022_04_25_abb03,50,spout02,sucrose20,20,10,10,0
2022_04_25_abb03,50,spout03,sucrose00,15,7.5,7.5,0.7071067811865476
2022_04_25_abb03,50,spout04,sucrose30,30,15,15,0
2022_04_25_abb03,50,spout05,sucrose10,8,4,4,5.656854249492381
2022_04_25_abb03,60,spout01,sucrose05,4,2,2,2.8284271247461903
2022_04_25_abb03,60,spout02,sucrose20,18,9,9,0
2022_04_25_abb03,60,spout03,sucrose00,9,4.5,4.5,2.1213203435596424
2022_04_25_abb03,60,spout04,sucrose30,34,17,17,0
2022_04_25_abb03,60,spout05,sucrose10,15,7.5,7.5,0.7071067811865476
2022_04_25_abb03,70,spout01,sucrose05,0,0,0,0
2022_04_25_abb03,70,spout02,sucrose20,7,3.5,3.5,4.949747468305833
2022_04_25_abb03,70,spout03,sucrose00,0,0,0,0
2022_04_25_abb03,70,spout04,sucrose30,0,0,0,0
2022_04_25_abb03,70,spout05,sucrose10,0,0,0,0
2022_04_25_abb03,80,spout01,sucrose05,0,0,0,0
2022_04_25_abb03,80,spout02,sucrose20,0,0,0,0
2022_04_25_abb03,80,spout03,sucrose00,0,0,0,0
2022_04_25_abb03,80,spout04,sucrose30,0,0,0,0
2022_04_25_abb03,80,spout05,sucrose10,0,0,0,0
2022_04_25_abb03,90,spout01,sucrose05,0,0,0,0
2022_04_25_abb03,90,spout02,sucrose20,0,0,0,0
2022_04_25_abb03,90,spout03,sucrose00,0,0,0,0
2022_04_25_abb03,90,spout04,sucrose30,0,0,0,0
2022_04_25_abb03,90,spout05,sucrose10,0,0,0,0
