blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_17_abb12,0,103,10.3,12,7.08754776585903
2022_06_17_abb12,10,133,13.3,17,8.731170215574389
2022_06_17_abb12,20,140,14,16.5,7.211102550927978
2022_06_17_abb12,30,100,10,11.5,7.874007874011811
2022_06_17_abb12,40,111,11.1,12.5,7.651434142985512
2022_06_17_abb12,50,80,8,5,7.615773105863909
2022_06_17_abb12,60,95,9.5,9,8.154753215150045
2022_06_17_abb12,70,55,5.5,1.5,7.3673453684334484
2022_06_17_abb12,80,84,8.4,6.5,8.382521498133283
2022_06_17_abb12,90,79,7.9,3.5,8.171087238958268
