blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_05_abb04,0,spout01,sucrose10,43,21.5,21.5,0.7071067811865476
2022_05_05_abb04,0,spout02,sucrose00,40,20,20,1.4142135623730951
2022_05_05_abb04,0,spout03,sucrose30,44,22,22,0
2022_05_05_abb04,0,spout04,sucrose05,42,21,21,1.4142135623730951
2022_05_05_abb04,0,spout05,sucrose20,39,19.5,19.5,0.7071067811865476
2022_05_05_abb04,10,spout01,sucrose10,45,22.5,22.5,0.7071067811865476
2022_05_05_abb04,10,spout02,sucrose00,41,20.5,20.5,2.1213203435596424
2022_05_05_abb04,10,spout03,sucrose30,44,22,22,1.4142135623730951
2022_05_05_abb04,10,spout04,sucrose05,44,22,22,0
2022_05_05_abb04,10,spout05,sucrose20,46,23,23,0
2022_05_05_abb04,20,spout01,sucrose10,48,24,24,1.4142135623730951
2022_05_05_abb04,20,spout02,sucrose00,40,20,20,0
2022_05_05_abb04,20,spout03,sucrose30,42,21,21,1.4142135623730951
2022_05_05_abb04,20,spout04,sucrose05,46,23,23,0
2022_05_05_abb04,20,spout05,sucrose20,46,23,23,0
2022_05_05_abb04,30,spout01,sucrose10,35,17.5,17.5,4.949747468305833
2022_05_05_abb04,30,spout02,sucrose00,40,20,20,1.4142135623730951
2022_05_05_abb04,30,spout03,sucrose30,39,19.5,19.5,0.7071067811865476
2022_05_05_abb04,30,spout04,sucrose05,48,24,24,0
2022_05_05_abb04,30,spout05,sucrose20,44,22,22,1.4142135623730951
2022_05_05_abb04,40,spout01,sucrose10,27,13.5,13.5,2.1213203435596424
2022_05_05_abb04,40,spout02,sucrose00,38,19,19,1.4142135623730951
2022_05_05_abb04,40,spout03,sucrose30,29,14.5,14.5,2.1213203435596424
2022_05_05_abb04,40,spout04,sucrose05,28,14,14,5.656854249492381
2022_05_05_abb04,40,spout05,sucrose20,43,21.5,21.5,4.949747468305833
2022_05_05_abb04,50,spout01,sucrose10,24,12,12,2.8284271247461903
2022_05_05_abb04,50,spout02,sucrose00,7,3.5,3.5,0.7071067811865476
2022_05_05_abb04,50,spout03,sucrose30,22,11,11,1.4142135623730951
2022_05_05_abb04,50,spout04,sucrose05,10,5,5,1.4142135623730951
2022_05_05_abb04,50,spout05,sucrose20,40,20,20,4.242640687119285
2022_05_05_abb04,60,spout01,sucrose10,9,4.5,4.5,2.1213203435596424
2022_05_05_abb04,60,spout02,sucrose00,2,1,1,1.4142135623730951
2022_05_05_abb04,60,spout03,sucrose30,21,10.5,10.5,2.1213203435596424
2022_05_05_abb04,60,spout04,sucrose05,7,3.5,3.5,4.949747468305833
2022_05_05_abb04,60,spout05,sucrose20,18,9,9,12.727922061357855
2022_05_05_abb04,70,spout01,sucrose10,12,6,6,8.48528137423857
2022_05_05_abb04,70,spout02,sucrose00,14,7,7,9.899494936611665
2022_05_05_abb04,70,spout03,sucrose30,11,5.5,5.5,7.7781745930520225
2022_05_05_abb04,70,spout04,sucrose05,0,0,0,0
2022_05_05_abb04,70,spout05,sucrose20,32,16,16,2.8284271247461903
2022_05_05_abb04,80,spout01,sucrose10,12,6,6,4.242640687119285
2022_05_05_abb04,80,spout02,sucrose00,6,3,3,1.4142135623730951
2022_05_05_abb04,80,spout03,sucrose30,9,4.5,4.5,4.949747468305833
2022_05_05_abb04,80,spout04,sucrose05,22,11,11,8.48528137423857
2022_05_05_abb04,80,spout05,sucrose20,36,18,18,1.4142135623730951
2022_05_05_abb04,90,spout01,sucrose10,0,0,0,0
2022_05_05_abb04,90,spout02,sucrose00,0,0,0,0
2022_05_05_abb04,90,spout03,sucrose30,0,0,0,0
2022_05_05_abb04,90,spout04,sucrose05,0,0,0,0
2022_05_05_abb04,90,spout05,sucrose20,4,2,2,2.8284271247461903
