blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_02_abb06,0,114,11.4,13.5,6.834552736727628
2022_05_02_abb06,10,15,1.5,0,3.8078865529319543
2022_05_02_abb06,20,19,1.9,0,4.067486256208427
2022_05_02_abb06,30,6,0.6,0,1.8973665961010275
2022_05_02_abb06,40,11,1.1,0,3.478505426185217
2022_05_02_abb06,50,51,5.1,0,7.475143997126596
2022_05_02_abb06,60,49,4.9,3,5.043147165543886
2022_05_02_abb06,70,24,2.4,0,4.115013163202924
2022_05_02_abb06,80,33,3.3,0,5.334374898294603
2022_05_02_abb06,90,50,5,1,6.531972647421808
