blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_31_abb09,0,226,22.6,22,1.7126976771553504
2022_05_31_abb09,10,236,23.6,24,1.3498971154211057
2022_05_31_abb09,20,229,22.9,23,1.8529256146249728
2022_05_31_abb09,30,185,18.5,20.5,5.835713800003866
2022_05_31_abb09,40,158,15.8,17.5,7.7430972843917925
2022_05_31_abb09,50,122,12.2,14,6.779052703405953
2022_05_31_abb09,60,80,8,8.5,7.571877794400365
2022_05_31_abb09,70,26,2.6,0,5.501514942874069
2022_05_31_abb09,80,52,5.2,0,6.844300142778986
2022_05_31_abb09,90,61,6.1,1.5,7.415449338299662
