blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_14_abb12,0,36,3.6,1,7.47142705393168
2022_06_14_abb12,10,10,1,1,1.247219128924647
2022_06_14_abb12,20,2,0.2,0,0.4216370213557839
2022_06_14_abb12,30,1,0.1,0,0.31622776601683794
2022_06_14_abb12,40,13,1.3,0,3.093002855909879
2022_06_14_abb12,50,10,1,1,1.0540925533894598
2022_06_14_abb12,60,30,3,0.5,6.342099196813483
2022_06_14_abb12,70,32,3.2,2,4.3410188256265885
2022_06_14_abb12,80,71,7.1,2.5,8.659612513784257
2022_06_14_abb12,90,30,3,0.5,7.102425250887506
