blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_07_abb09,0,154,15.4,17,7.198765326236314
2022_06_07_abb09,10,171,17.1,18,5.933895104491746
2022_06_07_abb09,20,195,19.5,22,5.1693541397569405
2022_06_07_abb09,30,186,18.6,21.5,5.521674464226308
2022_06_07_abb09,40,154,15.4,15,4.033195589934446
2022_06_07_abb09,50,66,6.6,3,6.995236474439826
2022_06_07_abb09,60,139,13.9,17,6.9992063042097055
2022_06_07_abb09,70,64,6.4,5.5,6.501281924871945
2022_06_07_abb09,80,44,4.4,0,6.801960501698511
2022_06_07_abb09,90,34,3.4,0,6.168017869984201
