blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_17_abb08,0,93,9.3,8.5,6.464432603785802
2022_06_17_abb08,10,116,11.6,13.5,7.890923055426828
2022_06_17_abb08,20,117,11.7,13.5,8.459708426811568
2022_06_17_abb08,30,121,12.1,17,9.25502866314068
2022_06_17_abb08,40,80,8,2.5,8.94427190999916
2022_06_17_abb08,50,94,9.4,10,8.514040691051981
2022_06_17_abb08,60,67,6.7,3.5,7.334090869963972
2022_06_17_abb08,70,78,7.8,5,7.955431408094026
2022_06_17_abb08,80,87,8.7,5,8.512082915218551
2022_06_17_abb08,90,61,6.1,1,7.880355321938218
