blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_10_abb11,0,218,21.8,23.5,3.457680661303984
2022_06_10_abb11,10,221,22.1,24,3.784471194529326
2022_06_10_abb11,20,221,22.1,24,4.383048152953731
2022_06_10_abb11,30,197,19.7,23,8.042249547096743
2022_06_10_abb11,40,198,19.8,22,7.7430972843917925
2022_06_10_abb11,50,208,20.8,22,4.211096452627668
2022_06_10_abb11,60,188,18.8,19,4.049691346263317
2022_06_10_abb11,70,66,6.6,4.5,7.545418035691153
2022_06_10_abb11,80,26,2.6,0.5,4.247875285886398
2022_06_10_abb11,90,99,9.9,13.5,8.412292592787454
