blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_05_abb06,0,161,16.1,18.5,5.216427044549853
2022_05_05_abb06,10,127,12.7,13,6.634087059355727
2022_05_05_abb06,20,111,11.1,11.5,5.546770832355224
2022_05_05_abb06,30,93,9.3,9,5.4984846397287805
2022_05_05_abb06,40,93,9.3,8.5,4.498147766951785
2022_05_05_abb06,50,64,6.4,5,3.5652645218989165
2022_05_05_abb06,60,64,6.4,4.5,6.3456021516217564
2022_05_05_abb06,70,46,4.6,4,3.1340424729448424
2022_05_05_abb06,80,59,5.9,3,5.933895104491746
2022_05_05_abb06,90,15,1.5,0,2.41522945769824
