blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_10_abb06,0,11,1.1,0.5,1.8529256146249728
2022_05_10_abb06,10,12,1.2,0,2.485513584307633
2022_05_10_abb06,20,69,6.9,1,8.582281488948935
2022_05_10_abb06,30,92,9.2,5,8.766096305907462
2022_05_10_abb06,40,60,6,3,6.531972647421808
2022_05_10_abb06,50,18,1.8,0,3.823901439919996
2022_05_10_abb06,60,41,4.1,0,6.903300337922113
2022_05_10_abb06,70,69,6.9,2.5,7.593125545883958
2022_05_10_abb06,80,47,4.7,1.5,6.464432603785802
2022_05_10_abb06,90,75,7.5,3.5,8.343327340522551
