blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_28_abb05,0,216,21.6,21.5,1.2649110640673518
2022_04_28_abb05,10,184,18.4,18,3.339993346633426
2022_04_28_abb05,20,142,14.2,15,3.73571352696584
2022_04_28_abb05,30,135,13.5,14.5,5.01663898109747
2022_04_28_abb05,40,107,10.7,10,4.372896319628699
2022_04_28_abb05,50,90,9,10,4.496912521077347
2022_04_28_abb05,60,85,8.5,7.5,4.790035954399971
2022_04_28_abb05,70,76,7.6,8.5,4.273952113286562
2022_04_28_abb05,80,51,5.1,5.5,3.314949304120485
2022_04_28_abb05,90,55,5.5,7.5,4.478342947514801
