blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_14_abb05,0,134,13.4,16.5,7.545418035691153
2022_04_14_abb05,10,121,12.1,13,4.748099034818508
2022_04_14_abb05,20,124,12.4,14,4.971027168615266
2022_04_14_abb05,30,114,11.4,13,4.742245131674331
2022_04_14_abb05,40,98,9.8,11,3.119829055146024
2022_04_14_abb05,50,78,7.8,7,5.28730134903956
2022_04_14_abb05,60,81,8.1,8,4.067486256208427
2022_04_14_abb05,70,54,5.4,6,3.3065591380365986
2022_04_14_abb05,80,38,3.8,4,3.4253953543107007
2022_04_14_abb05,90,41,4.1,3,3.6040101122068027
