blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_07_abb11,0,206,20.6,22,2.836272984824353
2022_06_07_abb11,10,209,20.9,21.5,2.8460498941515415
2022_06_07_abb11,20,208,20.8,20.5,1.4757295747452437
2022_06_07_abb11,30,179,17.9,18,2.282785822435191
2022_06_07_abb11,40,112,11.2,14,8.416914187779536
2022_06_07_abb11,50,136,13.6,15.5,5.966573556070519
2022_06_07_abb11,60,67,6.7,5,7.318925239860472
2022_06_07_abb11,70,69,6.9,4.5,7.504813270310076
2022_06_07_abb11,80,76,7.6,9,6.963396361610395
2022_06_07_abb11,90,50,5,0,6.5659052011974035
