blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_23_abb11,0,163,16.3,19,5.774464862170731
2022_05_23_abb11,10,147,14.7,21,8.273787255879592
2022_05_23_abb11,20,131,13.1,13.5,7.622335600063802
2022_05_23_abb11,30,133,13.3,15.5,7.94494947889678
2022_05_23_abb11,40,91,9.1,7,8.26572575290411
2022_05_23_abb11,50,60,6,4,7.393691004272944
2022_05_23_abb11,60,108,10.8,10,7.539525478731698
2022_05_23_abb11,70,114,11.4,11,9.383200117467625
2022_05_23_abb11,80,82,8.2,4.5,7.495183638696105
2022_05_23_abb11,90,77,7.7,4,6.750308634919345
