blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_30_abb11,0,232,23.2,23.5,1.0327955589886444
2022_05_30_abb11,10,235,23.5,24,0.97182531580755
2022_05_30_abb11,20,225,22.5,23,1.9578900207451218
2022_05_30_abb11,30,207,20.7,24,6.498717822257967
2022_05_30_abb11,40,213,21.3,23,4.595891885393109
2022_05_30_abb11,50,191,19.1,22,6.5226102477799826
2022_05_30_abb11,60,162,16.2,20.5,9.174844836714012
2022_05_30_abb11,70,101,10.1,9.5,9.515484456634063
2022_05_30_abb11,80,84,8.4,4,9.033271832508971
2022_05_30_abb11,90,66,6.6,0,9.323804659758448
