blockname,event_id_char,event_ts,trial_start_ts,trial_num,spout,trial_num_tastant,event_ts_rel,experiment,cohort,date,solution,solution_type,solution_value
2022_05_04_abb06,lick_05,23257,20482,2,spout05,1,2775,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb06,lick_05,23392,20482,2,spout05,1,2910,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb06,lick_03,33921,32021,3,spout03,1,1900,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,34056,32021,3,spout03,1,2035,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,34163,32021,3,spout03,1,2142,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,34272,32021,3,spout03,1,2251,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,34407,32021,3,spout03,1,2386,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,34515,32021,3,spout03,1,2494,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,34751,32021,3,spout03,1,2730,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,34860,32021,3,spout03,1,2839,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,34991,32021,3,spout03,1,2970,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,43785,43498,4,spout03,2,287,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,43921,43498,4,spout03,2,423,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,44052,43498,4,spout03,2,554,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,44161,43498,4,spout03,2,663,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,44292,43498,4,spout03,2,794,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,44416,43498,4,spout03,2,918,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,44534,43498,4,spout03,2,1036,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,44751,43498,4,spout03,2,1253,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,44879,43498,4,spout03,2,1381,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,45022,43498,4,spout03,2,1524,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,45130,43498,4,spout03,2,1632,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,45355,43498,4,spout03,2,1857,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,45698,43498,4,spout03,2,2200,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,45899,43498,4,spout03,2,2401,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,46227,43498,4,spout03,2,2729,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,46340,43498,4,spout03,2,2842,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick_03,46490,43498,4,spout03,2,2992,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb06,lick,56765,56591,5,spout01,2,174,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,56939,56591,5,spout01,2,348,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,57074,56591,5,spout01,2,483,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,57175,56591,5,spout01,2,584,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,57303,56591,5,spout01,2,712,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,57442,56591,5,spout01,2,851,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,57573,56591,5,spout01,2,982,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,57705,56591,5,spout01,2,1114,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,57828,56591,5,spout01,2,1237,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,57974,56591,5,spout01,2,1383,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,58098,56591,5,spout01,2,1507,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,58226,56591,5,spout01,2,1635,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,58342,56591,5,spout01,2,1751,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,58477,56591,5,spout01,2,1886,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,58593,56591,5,spout01,2,2002,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,58760,56591,5,spout01,2,2169,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,58913,56591,5,spout01,2,2322,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,59068,56591,5,spout01,2,2477,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,59273,56591,5,spout01,2,2682,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick,59529,56591,5,spout01,2,2938,abb,1,5/4/2022,sucrose30,sucrose,30
2022_05_04_abb06,lick_04,69825,69446,6,spout04,1,379,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb06,lick_04,69988,69446,6,spout04,1,542,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb06,lick_04,70123,69446,6,spout04,1,677,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb06,lick_04,70881,69446,6,spout04,1,1435,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb06,lick_02,84443,84146,7,spout02,1,297,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,84575,84146,7,spout02,1,429,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,84690,84146,7,spout02,1,544,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,84926,84146,7,spout02,1,780,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,85061,84146,7,spout02,1,915,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,85220,84146,7,spout02,1,1074,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,85336,84146,7,spout02,1,1190,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,85490,84146,7,spout02,1,1344,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,85645,84146,7,spout02,1,1499,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,85765,84146,7,spout02,1,1619,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,85907,84146,7,spout02,1,1761,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,86059,84146,7,spout02,1,1913,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,86163,84146,7,spout02,1,2017,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,86298,84146,7,spout02,1,2152,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,86552,84146,7,spout02,1,2406,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,86785,84146,7,spout02,1,2639,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,86927,84146,7,spout02,1,2781,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb06,lick_02,87070,84146,7,spout02,1,2924,abb,1,5/4/2022,sucrose10,sucrose,10
