blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_09_abb11,0,207,20.7,22,3.743141876967945
2022_06_09_abb11,10,213,21.3,23,3.917198545446024
2022_06_09_abb11,20,202,20.2,21.5,4.184627953726724
2022_06_09_abb11,30,178,17.8,18,4.391911757866827
2022_06_09_abb11,40,135,13.5,15.5,5.70087712549569
2022_06_09_abb11,50,132,13.2,13.5,4.184627953726724
2022_06_09_abb11,60,87,8.7,11,7.36432843736164
2022_06_09_abb11,70,88,8.8,10,6.860515043833566
2022_06_09_abb11,80,85,8.5,10,6.398784606817489
2022_06_09_abb11,90,76,7.6,8.5,6.022181221672648
