blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_27_abb05,0,spout01,sucrose20,46,23,23,0
2022_04_27_abb05,0,spout02,sucrose30,47,23.5,23.5,0.7071067811865476
2022_04_27_abb05,0,spout03,sucrose05,42,21,21,0
2022_04_27_abb05,0,spout04,sucrose10,47,23.5,23.5,0.7071067811865476
2022_04_27_abb05,0,spout05,sucrose00,43,21.5,21.5,0.7071067811865476
2022_04_27_abb05,10,spout01,sucrose20,40,20,20,5.656854249492381
2022_04_27_abb05,10,spout02,sucrose30,46,23,23,0
2022_04_27_abb05,10,spout03,sucrose05,19,9.5,9.5,2.1213203435596424
2022_04_27_abb05,10,spout04,sucrose10,36,18,18,1.4142135623730951
2022_04_27_abb05,10,spout05,sucrose00,29,14.5,14.5,10.606601717798213
2022_04_27_abb05,20,spout01,sucrose20,20,10,10,4.242640687119285
2022_04_27_abb05,20,spout02,sucrose30,44,22,22,0
2022_04_27_abb05,20,spout03,sucrose05,18,9,9,2.8284271247461903
2022_04_27_abb05,20,spout04,sucrose10,26,13,13,7.0710678118654755
2022_04_27_abb05,20,spout05,sucrose00,36,18,18,2.8284271247461903
2022_04_27_abb05,30,spout01,sucrose20,16,8,8,2.8284271247461903
2022_04_27_abb05,30,spout02,sucrose30,34,17,17,2.8284271247461903
2022_04_27_abb05,30,spout03,sucrose05,19,9.5,9.5,2.1213203435596424
2022_04_27_abb05,30,spout04,sucrose10,23,11.5,11.5,3.5355339059327378
2022_04_27_abb05,30,spout05,sucrose00,9,4.5,4.5,2.1213203435596424
2022_04_27_abb05,40,spout01,sucrose20,29,14.5,14.5,3.5355339059327378
2022_04_27_abb05,40,spout02,sucrose30,29,14.5,14.5,2.1213203435596424
2022_04_27_abb05,40,spout03,sucrose05,18,9,9,0
2022_04_27_abb05,40,spout04,sucrose10,22,11,11,4.242640687119285
2022_04_27_abb05,40,spout05,sucrose00,14,7,7,5.656854249492381
2022_04_27_abb05,50,spout01,sucrose20,26,13,13,4.242640687119285
2022_04_27_abb05,50,spout02,sucrose30,33,16.5,16.5,0.7071067811865476
2022_04_27_abb05,50,spout03,sucrose05,9,4.5,4.5,2.1213203435596424
2022_04_27_abb05,50,spout04,sucrose10,12,6,6,5.656854249492381
2022_04_27_abb05,50,spout05,sucrose00,16,8,8,8.48528137423857
2022_04_27_abb05,60,spout01,sucrose20,16,8,8,1.4142135623730951
2022_04_27_abb05,60,spout02,sucrose30,28,14,14,1.4142135623730951
2022_04_27_abb05,60,spout03,sucrose05,9,4.5,4.5,3.5355339059327378
2022_04_27_abb05,60,spout04,sucrose10,18,9,9,5.656854249492381
2022_04_27_abb05,60,spout05,sucrose00,6,3,3,1.4142135623730951
2022_04_27_abb05,70,spout01,sucrose20,15,7.5,7.5,0.7071067811865476
2022_04_27_abb05,70,spout02,sucrose30,27,13.5,13.5,0.7071067811865476
2022_04_27_abb05,70,spout03,sucrose05,4,2,2,0
2022_04_27_abb05,70,spout04,sucrose10,13,6.5,6.5,3.5355339059327378
2022_04_27_abb05,70,spout05,sucrose00,1,0.5,0.5,0.7071067811865476
2022_04_27_abb05,80,spout01,sucrose20,11,5.5,5.5,7.7781745930520225
2022_04_27_abb05,80,spout02,sucrose30,12,6,6,7.0710678118654755
2022_04_27_abb05,80,spout03,sucrose05,8,4,4,2.8284271247461903
2022_04_27_abb05,80,spout04,sucrose10,10,5,5,7.0710678118654755
2022_04_27_abb05,80,spout05,sucrose00,6,3,3,1.4142135623730951
2022_04_27_abb05,90,spout01,sucrose20,22,11,11,2.8284271247461903
2022_04_27_abb05,90,spout02,sucrose30,23,11.5,11.5,3.5355339059327378
2022_04_27_abb05,90,spout03,sucrose05,10,5,5,2.8284271247461903
2022_04_27_abb05,90,spout04,sucrose10,0,0,0,0
2022_04_27_abb05,90,spout05,sucrose00,4,2,2,1.4142135623730951
