blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_09_abb06,0,103,10.3,6.5,7.717944458640958
2022_05_09_abb06,10,117,11.7,12.5,8.718435129718584
2022_05_09_abb06,20,133,13.3,14.5,6.976946164173676
2022_05_09_abb06,30,78,7.8,4,8.651268372004445
2022_05_09_abb06,40,114,11.4,10,8.921883209278185
2022_05_09_abb06,50,104,10.4,9,8.682037651253177
2022_05_09_abb06,60,43,4.3,2,5.888784066153027
2022_05_09_abb06,70,56,5.6,3,6.552353266829661
2022_05_09_abb06,80,73,7.3,3,7.674633541739957
2022_05_09_abb06,90,76,7.6,5,8.1540719207576835
