blockname,trial_start_ts,trial_num,spout,trial_num_tastant,lick_count,lick_ts_first,lick_ts_last,lick_ili_mean,trial_lick,experiment,cohort,date,solution,solution_type,solution_value
2022_06_15_abb09,10852,1,spout02,1,18,313,2813,147.05882352941177,1,abb,2,6/15/2022,nacl025,nacl,0.25
2022_06_15_abb09,22537,2,spout01,1,1,338,338,NA,1,abb,2,6/15/2022,nacl050,nacl,0.5
2022_06_15_abb09,35502,3,spout05,1,1,341,341,NA,1,abb,2,6/15/2022,nacl150,nacl,1.5
2022_06_15_abb09,50637,4,spout01,2,0,NA,NA,NA,0,abb,2,6/15/2022,nacl050,nacl,0.5
2022_06_15_abb09,64013,5,spout03,1,2,364,2941,2577,1,abb,2,6/15/2022,nacl100,nacl,1
2022_06_15_abb09,78140,6,spout05,2,2,385,628,243,1,abb,2,6/15/2022,nacl150,nacl,1.5
2022_06_15_abb09,90384,7,spout04,1,20,406,2973,135.10526315789474,1,abb,2,6/15/2022,nacl000,nacl,0
2022_06_15_abb09,103327,8,spout03,2,1,245,245,NA,1,abb,2,6/15/2022,nacl100,nacl,1
2022_06_15_abb09,119243,9,spout02,2,17,401,2897,156,1,abb,2,6/15/2022,nacl025,nacl,0.25
2022_06_15_abb09,132038,10,spout04,2,23,196,2904,123.0909090909091,1,abb,2,6/15/2022,nacl000,nacl,0
2022_06_15_abb09,144829,11,spout01,3,1,300,300,NA,1,abb,2,6/15/2022,nacl050,nacl,0.5
2022_06_15_abb09,156547,12,spout04,3,23,247,2968,123.68181818181819,1,abb,2,6/15/2022,nacl000,nacl,0
2022_06_15_abb09,170845,13,spout02,3,20,193,2945,144.8421052631579,1,abb,2,6/15/2022,nacl025,nacl,0.25
2022_06_15_abb09,183452,14,spout03,3,1,286,286,NA,1,abb,2,6/15/2022,nacl100,nacl,1
2022_06_15_abb09,197903,15,spout05,3,2,185,599,414,1,abb,2,6/15/2022,nacl150,nacl,1.5
2022_06_15_abb09,211401,16,spout01,4,1,311,311,NA,1,abb,2,6/15/2022,nacl050,nacl,0.5
2022_06_15_abb09,227049,17,spout05,4,8,205,2717,358.85714285714283,1,abb,2,6/15/2022,nacl150,nacl,1.5
2022_06_15_abb09,240952,18,spout02,4,21,364,2968,130.2,1,abb,2,6/15/2022,nacl025,nacl,0.25
2022_06_15_abb09,252143,19,spout04,4,24,310,2965,115.43478260869566,1,abb,2,6/15/2022,nacl000,nacl,0
2022_06_15_abb09,266212,20,spout03,4,3,207,2690,1241.5,1,abb,2,6/15/2022,nacl100,nacl,1
2022_06_15_abb09,279566,21,spout05,5,6,264,1415,230.2,1,abb,2,6/15/2022,nacl150,nacl,1.5
2022_06_15_abb09,291798,22,spout02,5,19,455,2997,141.22222222222223,1,abb,2,6/15/2022,nacl025,nacl,0.25
2022_06_15_abb09,305290,23,spout03,5,1,277,277,NA,1,abb,2,6/15/2022,nacl100,nacl,1
2022_06_15_abb09,319707,24,spout05,6,3,211,2910,1349.5,1,abb,2,6/15/2022,nacl150,nacl,1.5
2022_06_15_abb09,331771,25,spout04,5,24,277,2888,113.52173913043478,1,abb,2,6/15/2022,nacl000,nacl,0
