blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_04_abb03,0,172,17.2,19,4.366539438350084
2022_05_04_abb03,10,113,11.3,11,7.134423592694787
2022_05_04_abb03,20,111,11.1,9.5,6.008327554319921
2022_05_04_abb03,30,50,5,3.5,5.637178175095921
2022_05_04_abb03,40,61,6.1,4,5.665686189686118
2022_05_04_abb03,50,52,5.2,4,5.553777493242275
2022_05_04_abb03,60,14,1.4,0,2.4585451886114367
2022_05_04_abb03,70,9,0.9,0,1.5238839267549948
2022_05_04_abb03,80,21,2.1,0,3.956710193526379
2022_05_04_abb03,90,2,0.2,0,0.6324555320336759
