blockname,trial_num,time_bin,count_binned,trial_start_ts,spout,trial_num_tastant,time_bin_width,experiment,cohort,date,solution,solution_type,solution_value
2022_04_22_abb03,1,0,0,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,100,2,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,200,0,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,300,0,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,400,0,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,500,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,600,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,700,0,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,800,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,900,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,1000,0,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,1100,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,1200,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,1300,0,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,1400,0,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,1500,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,1600,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,1700,0,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,1800,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,1900,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,2000,0,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,2100,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,2200,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,2300,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,2400,0,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,2500,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,2600,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,2700,0,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,2800,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,1,2900,1,9046,spout04,1,100,abb,1,4/22/2022,sucrose05,sucrose,5
2022_04_22_abb03,2,0,0,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
2022_04_22_abb03,2,100,0,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
2022_04_22_abb03,2,200,0,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
2022_04_22_abb03,2,300,0,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
2022_04_22_abb03,2,400,1,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
2022_04_22_abb03,2,500,1,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
2022_04_22_abb03,2,600,1,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
2022_04_22_abb03,2,700,0,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
2022_04_22_abb03,2,800,1,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
2022_04_22_abb03,2,900,1,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
2022_04_22_abb03,2,1000,1,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
2022_04_22_abb03,2,1100,1,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
2022_04_22_abb03,2,1200,0,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
2022_04_22_abb03,2,1300,1,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
2022_04_22_abb03,2,1400,1,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
2022_04_22_abb03,2,1500,1,20482,spout02,1,100,abb,1,4/22/2022,sucrose00,sucrose,0
