blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_06_13_abb08,0,166,16.6,21,9.359487165438072
2022_06_13_abb08,10,137,13.7,17.5,10.965096138809423
2022_06_13_abb08,20,78,7.8,5.5,8.804039476916895
2022_06_13_abb08,30,87,8.7,2.5,11.343622780125306
2022_06_13_abb08,40,76,7.6,1.5,10.658330075579382
2022_06_13_abb08,50,91,9.1,3,10.908202825804482
2022_06_13_abb08,60,77,7.7,1.5,10.29616973010406
2022_06_13_abb08,70,77,7.7,2.5,9.933668898135158
2022_06_13_abb08,80,77,7.7,2,10.209472725529626
2022_06_13_abb08,90,91,9.1,5,9.608445359277546
