blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_27_abb09,0,95,9.5,9,7.199537022151725
2022_05_27_abb09,10,77,7.7,3.5,7.334090869963972
2022_05_27_abb09,20,62,6.2,5,5.921711464320654
2022_05_27_abb09,30,63,6.3,3,6.634087059355727
2022_05_27_abb09,40,66,6.6,3.5,6.168017869984201
2022_05_27_abb09,50,65,6.5,3,7.487025815072068
2022_05_27_abb09,60,41,4.1,2.5,5.626327003965869
2022_05_27_abb09,70,64,6.4,3,7.244921593011817
2022_05_27_abb09,80,49,4.9,2.5,5.915140648276158
2022_05_27_abb09,90,65,6.5,2,7.337120234351713
