blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_25_abb10,0,214,21.4,22,0.8432740427115678
2022_05_25_abb10,10,229,22.9,23,0.5676462121975467
2022_05_25_abb10,20,226,22.6,23,1.776388345929897
2022_05_25_abb10,30,222,22.2,22.5,1.2292725943057183
2022_05_25_abb10,40,228,22.8,23.5,1.6865480854231356
2022_05_25_abb10,50,161,16.1,16,4.332051092342595
2022_05_25_abb10,60,78,7.8,6.5,6.014796569941312
2022_05_25_abb10,70,106,10.6,12.5,4.526465385804788
2022_05_25_abb10,80,72,7.2,7,5.370702416299421
2022_05_25_abb10,90,62,6.2,0,8.403702887550358
