blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_20_abb08,0,190,19,22,6.749485577105529
2022_05_20_abb08,10,219,21.9,22,1.911950719959998
2022_05_20_abb08,20,224,22.4,23,2.4129281427805145
2022_05_20_abb08,30,201,20.1,21,4.067486256208427
2022_05_20_abb08,40,204,20.4,22.5,6.168017869984201
2022_05_20_abb08,50,191,19.1,21,7.093815773067568
2022_05_20_abb08,60,154,15.4,16.5,8.1540719207576835
2022_05_20_abb08,70,140,14,13,6.0553007081949835
2022_05_20_abb08,80,116,11.6,10,7.0898989179442236
2022_05_20_abb08,90,92,9.2,6.5,9.199033765685515
