blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_12_abb04,0,121,12.1,14.5,9.182713227702488
2022_05_12_abb04,10,137,13.7,18.5,9.911273043021938
2022_05_12_abb04,20,122,12.2,13.5,9.461031186456955
2022_05_12_abb04,30,122,12.2,13,7.842901957254796
2022_05_12_abb04,40,120,12,13,9.345230512584124
2022_05_12_abb04,50,106,10.6,9,8.859395514869448
2022_05_12_abb04,60,109,10.9,11.5,9.36245456894481
2022_05_12_abb04,70,94,9.4,7,9.287985070329661
2022_05_12_abb04,80,87,8.7,5,8.680117766738217
2022_05_12_abb04,90,105,10.5,11,9.204467514322717
