blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_13_abb06,0,3,0.3,0,0.6749485577105528
2022_05_13_abb06,10,36,3.6,0.5,5.037636129950016
2022_05_13_abb06,20,43,4.3,1.5,6.290204024248075
2022_05_13_abb06,30,55,5.5,0.5,8.276472678623424
2022_05_13_abb06,40,47,4.7,0.5,6.481597882552659
2022_05_13_abb06,50,64,6.4,3,7.351492667781452
2022_05_13_abb06,60,51,5.1,2,6.9992063042097055
2022_05_13_abb06,70,51,5.1,2.5,6.624030327359453
2022_05_13_abb06,80,52,5.2,2,7.177124153246279
2022_05_13_abb06,90,40,4,1,6.4635731432217725
