blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_19_abb03,0,191,19.1,19.5,2.2335820757001272
2022_04_19_abb03,10,166,16.6,15.5,4.005551702879947
2022_04_19_abb03,20,147,14.7,15,3.802046232695699
2022_04_19_abb03,30,120,12,11,3.8297084310253524
2022_04_19_abb03,40,83,8.3,8,4.3982319680121975
2022_04_19_abb03,50,68,6.8,6,5.116422361159971
2022_04_19_abb03,60,44,4.4,4,3.470510689285432
2022_04_19_abb03,70,48,4.8,2,5.553777493242275
2022_04_19_abb03,80,38,3.8,1.5,4.732863826479693
2022_04_19_abb03,90,25,2.5,0,4.790035954399971
