blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_19_abb05,0,157,15.7,18,6.412661087428699
2022_04_19_abb05,10,166,16.6,16.5,3.596294389136314
2022_04_19_abb05,20,133,13.3,13,2.4517567397911058
2022_04_19_abb05,30,117,11.7,11,4.715223571935199
2022_04_19_abb05,40,81,8.1,6,5.40473043833928
2022_04_19_abb05,50,92,9.2,9,4.825856285561029
2022_04_19_abb05,60,62,6.2,6.5,3.0477678535099897
2022_04_19_abb05,70,62,6.2,5.5,3.794733192202055
2022_04_19_abb05,80,55,5.5,5.5,3.4399612400917157
2022_04_19_abb05,90,57,5.7,4,4.667856991049414
