blockname,trial_start_ts,trial_num,spout,trial_num_tastant,lick_count,lick_ts_first,lick_ts_last,lick_ili_mean,trial_lick,experiment,cohort,date,solution,solution_type,solution_value
2022_05_31_abb11,573132,43,spout02,9,17,224,2969,171.5625,1,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,587009,44,spout04,9,15,220,2597,169.78571428571428,1,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,602722,45,spout03,10,25,226,2959,113.875,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,614505,46,spout05,9,16,243,2466,148.2,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,627017,47,spout05,10,21,254,2952,134.9,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,642176,48,spout02,10,18,270,2832,150.7058823529412,1,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,655285,49,spout04,10,18,215,2879,156.7058823529412,1,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,666873,50,spout01,10,17,282,2681,149.9375,1,abb,2,5/31/2022,sucrose30,sucrose,30
2022_05_31_abb11,681148,51,spout03,11,24,226,2925,117.34782608695652,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,693962,52,spout05,11,10,236,1718,164.66666666666666,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,705824,53,spout02,11,18,358,2936,151.64705882352942,1,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,718286,54,spout02,12,18,345,2944,152.88235294117646,1,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,732577,55,spout05,12,14,234,2002,136,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,748320,56,spout01,11,18,286,2977,158.2941176470588,1,abb,2,5/31/2022,sucrose30,sucrose,30
2022_05_31_abb11,763018,57,spout04,11,4,351,754,134.33333333333334,1,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,776301,58,spout01,12,17,314,2967,165.8125,1,abb,2,5/31/2022,sucrose30,sucrose,30
2022_05_31_abb11,789637,59,spout04,12,0,NA,NA,NA,0,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,800911,60,spout03,12,14,291,2889,199.84615384615384,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,815485,61,spout04,13,0,NA,NA,NA,0,abb,2,5/31/2022,sucrose00,sucrose,0
