blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_20_abb12,0,194,19.4,20.5,3.5023801430836525
2022_05_20_abb12,10,171,17.1,16,3.314949304120485
2022_05_20_abb12,20,146,14.6,15.5,6.947421584060281
2022_05_20_abb12,30,124,12.4,12.5,7.074209810603898
2022_05_20_abb12,40,60,6,3.5,5.754225500544023
2022_05_20_abb12,50,34,3.4,0,6.552353266829661
2022_05_20_abb12,60,119,11.9,12,7.1094616142464995
2022_05_20_abb12,70,100,10,8.5,8.096638534327413
2022_05_20_abb12,80,97,9.7,10.5,6.766748767974831
2022_05_20_abb12,90,52,5.2,4,5.181162460726786
