blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_04_abb04,0,176,17.6,18.5,2.756809750418044
2022_05_04_abb04,10,195,19.5,19.5,2.5495097567963922
2022_05_04_abb04,20,187,18.7,19,3.3681514877517675
2022_05_04_abb04,30,188,18.8,19.5,3.4253953543107007
2022_05_04_abb04,40,168,16.8,17,4.184627953726724
2022_05_04_abb04,50,187,18.7,18.5,4.547282460742655
2022_05_04_abb04,60,111,11.1,12,4.748099034818508
2022_05_04_abb04,70,103,10.3,11.5,7.02456008903365
2022_05_04_abb04,80,58,5.8,5,4.565571644870382
2022_05_04_abb04,90,10,1,0,2.8284271247461903
