blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_09_abb05,0,109,10.9,11.5,6.505553183413554
2022_05_09_abb05,10,94,9.4,7.5,5.853773711604051
2022_05_09_abb05,20,102,10.2,10,6.160808027812225
2022_05_09_abb05,30,93,9.3,7.5,6.667499947923176
2022_05_09_abb05,40,107,10.7,10,7.424434134816082
2022_05_09_abb05,50,93,9.3,7,6.09280085200741
2022_05_09_abb05,60,64,6.4,2,7.4565407529228995
2022_05_09_abb05,70,100,10,7.5,8.537498983243799
2022_05_09_abb05,80,103,10.3,10.5,8.179242018671413
2022_05_09_abb05,90,76,7.6,3,6.88315173287483
