blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_06_abb06,0,170,17,19,5.0990195135927845
2022_05_06_abb06,10,103,10.3,13,6.3604681868204915
2022_05_06_abb06,20,81,8.1,5.5,5.566766466171263
2022_05_06_abb06,30,75,7.5,6,5.50252467307306
2022_05_06_abb06,40,59,5.9,4,4.1486276177925525
2022_05_06_abb06,50,80,8,9.5,5.163977794943222
2022_05_06_abb06,60,63,6.3,4,4.270050741306634
2022_05_06_abb06,70,60,6,4,4.521553322083512
2022_05_06_abb06,80,35,3.5,3,4.06201920231798
2022_05_06_abb06,90,26,2.6,1.5,3.238655413730965
