blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_05_abb05,0,153,15.3,19,6.3779132776934
2022_05_05_abb05,10,122,12.2,11.5,7.685484153042453
2022_05_05_abb05,20,127,12.7,13.5,7.43938468184328
2022_05_05_abb05,30,56,5.6,6,4.695151163109069
2022_05_05_abb05,40,71,7.1,4.5,6.624030327359453
2022_05_05_abb05,50,42,4.2,3,5.473166867139678
2022_05_05_abb05,60,88,8.8,7,7.685484153042453
2022_05_05_abb05,70,53,5.3,2.5,6.412661087428699
2022_05_05_abb05,80,51,5.1,3,7.549098548097573
2022_05_05_abb05,90,70,7,5.5,5.830951894845301
