blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_09_abb03,0,143,14.3,17,8.667307668602875
2022_05_09_abb03,10,117,11.7,15,8.794569031194447
2022_05_09_abb03,20,132,13.2,17.5,8.469553313683864
2022_05_09_abb03,30,83,8.3,8,7.349225204816567
2022_05_09_abb03,40,42,4.2,1.5,6.250333324444918
2022_05_09_abb03,50,69,6.9,2.5,7.549098548097573
2022_05_09_abb03,60,73,7.3,3,7.36432843736164
2022_05_09_abb03,70,88,8.8,6,7.714344503009385
2022_05_09_abb03,80,64,6.4,2.5,6.899275324264136
2022_05_09_abb03,90,35,3.5,1,4.672615256292062
