blockname,trial_start_ts,trial_num,spout,trial_num_tastant,lick_count,lick_ts_first,lick_ts_last,lick_ili_mean,trial_lick,experiment,cohort,date,solution,solution_type,solution_value
2022_06_08_abb12,10852,1,spout03,1,19,220,2788,142.66666666666666,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,22537,2,spout01,1,11,235,1692,145.7,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,35502,3,spout04,1,1,920,920,NA,1,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,50637,4,spout02,1,13,355,2776,201.75,1,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,64013,5,spout01,2,4,295,650,118.33333333333333,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,78140,6,spout05,1,18,331,2925,152.58823529411765,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,90384,7,spout02,2,12,313,2180,169.72727272727272,1,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,103327,8,spout04,2,21,372,2966,129.7,1,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,119243,9,spout03,2,7,325,1160,139.16666666666666,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,132038,10,spout05,2,18,302,2881,151.7058823529412,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,144829,11,spout05,3,21,361,2944,129.15,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,156547,12,spout05,4,19,431,2905,137.44444444444446,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,170845,13,spout02,3,5,323,841,129.5,1,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,183452,14,spout01,3,3,429,822,196.5,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,197903,15,spout03,3,18,227,2895,156.94117647058823,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,211401,16,spout04,3,22,313,2955,125.80952380952381,1,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,227049,17,spout02,4,4,463,923,153.33333333333334,1,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,240952,18,spout03,4,16,322,2568,149.73333333333332,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,252143,19,spout04,4,21,293,2898,130.25,1,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,266212,20,spout01,4,4,299,670,123.66666666666667,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,279566,21,spout03,5,17,257,2959,168.875,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,291798,22,spout03,6,16,276,2348,138.13333333333333,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,305290,23,spout01,5,2,249,477,228,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,319707,24,spout02,5,6,321,1345,204.8,1,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,331771,25,spout05,5,2,266,313,47,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,344396,26,spout02,6,2,323,717,394,1,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,355680,27,spout01,6,1,390,390,NA,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,368493,28,spout04,5,11,171,2979,280.8,1,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,381162,29,spout05,6,1,229,229,NA,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,395887,30,spout04,6,0,NA,NA,NA,0,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,408967,31,spout03,7,18,321,2942,154.1764705882353,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,421299,32,spout02,7,3,493,752,129.5,1,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,432773,33,spout04,7,23,268,2997,124.04545454545455,1,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,446245,34,spout01,7,3,325,700,187.5,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,461365,35,spout04,8,21,405,2965,128,1,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,473832,36,spout05,7,20,364,2916,134.31578947368422,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,488751,37,spout02,8,3,347,730,191.5,1,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,503852,38,spout05,8,20,281,2945,140.21052631578948,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,517792,39,spout03,8,4,284,674,130,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,529875,40,spout01,8,4,295,774,159.66666666666666,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,543258,41,spout03,9,18,262,2801,149.35294117647058,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,556334,42,spout04,9,20,307,2907,136.8421052631579,1,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,570877,43,spout01,9,3,257,605,174,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,586157,44,spout02,9,7,317,1539,203.66666666666666,1,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,597869,45,spout01,10,3,287,569,141,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,611632,46,spout05,9,19,219,2909,149.44444444444446,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,624115,47,spout04,10,17,288,2894,162.875,1,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,639696,48,spout02,10,3,307,681,187,1,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,654934,49,spout03,10,4,299,686,129,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,669656,50,spout05,10,20,414,2884,130,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,682994,51,spout05,11,19,233,2953,151.11111111111111,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,698127,52,spout05,12,21,241,2939,134.9,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,713174,53,spout02,11,4,280,949,223,1,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,728765,54,spout01,11,2,348,580,232,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,742081,55,spout01,12,6,352,1516,232.8,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,755137,56,spout04,11,20,288,2896,137.26315789473685,1,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,770037,57,spout03,11,4,273,639,122,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,782516,58,spout03,12,2,274,514,240,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,794384,59,spout04,12,20,305,2949,139.1578947368421,1,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,809270,60,spout02,12,2,306,530,224,1,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,825144,61,spout05,13,20,295,2888,136.47368421052633,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,836827,62,spout02,13,0,NA,NA,NA,0,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,849616,63,spout03,13,3,321,584,131.5,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,862147,64,spout01,13,3,340,691,175.5,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,876173,65,spout03,14,12,296,2089,163,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,890976,66,spout05,14,19,303,2974,148.38888888888889,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,904896,67,spout02,14,3,506,772,133,1,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,918551,68,spout04,13,14,298,2965,205.15384615384616,1,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,930748,69,spout01,14,1,314,314,NA,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,945832,70,spout04,14,20,267,2898,138.47368421052633,1,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,961714,71,spout01,15,2,331,471,140,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,974381,72,spout05,15,21,276,2792,125.8,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,987601,73,spout03,15,6,290,925,127,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,1000763,74,spout03,16,3,297,594,148.5,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,1013093,75,spout01,16,0,NA,NA,NA,0,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,1026304,76,spout05,16,21,294,2794,125,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,1038502,77,spout02,15,0,NA,NA,NA,0,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,1050611,78,spout02,16,0,NA,NA,NA,0,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,1065107,79,spout04,15,7,323,1359,172.66666666666666,1,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,1077046,80,spout04,16,0,NA,NA,NA,0,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,1089266,81,spout03,17,3,296,536,120,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,1104313,82,spout04,17,12,292,2897,236.8181818181818,1,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,1117675,83,spout02,17,0,NA,NA,NA,0,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,1129011,84,spout01,17,2,388,623,235,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,1142857,85,spout04,18,0,NA,NA,NA,0,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,1158599,86,spout05,17,19,303,2896,144.05555555555554,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,1173340,87,spout05,18,22,274,2914,125.71428571428571,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,1188032,88,spout03,18,3,262,672,205,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,1203223,89,spout02,18,0,NA,NA,NA,0,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,1216762,90,spout01,18,2,309,610,301,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,1228383,91,spout01,19,4,415,864,149.66666666666666,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,1243960,92,spout04,19,0,NA,NA,NA,0,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,1256150,93,spout02,19,0,NA,NA,NA,0,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,1269421,94,spout05,19,13,1085,2918,152.75,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,1282014,95,spout05,20,22,278,2879,123.85714285714286,1,abb,2,6/8/2022,sucrose30,sucrose,30
2022_06_08_abb12,1293694,96,spout01,20,2,326,453,127,1,abb,2,6/8/2022,sucrose00,sucrose,0
2022_06_08_abb12,1305057,97,spout04,20,0,NA,NA,NA,0,abb,2,6/8/2022,sucrose20,sucrose,20
2022_06_08_abb12,1318187,98,spout03,19,3,290,519,114.5,1,abb,2,6/8/2022,sucrose10,sucrose,10
2022_06_08_abb12,1332456,99,spout02,20,5,130,2239,527.25,1,abb,2,6/8/2022,sucrose05,sucrose,5
2022_06_08_abb12,1344133,100,spout03,20,1,2979,2979,NA,1,abb,2,6/8/2022,sucrose10,sucrose,10
